review,sentiment
They are CP they feel that they own the city.,0
I can't rate it below than that.,0
 IT was just that I had to sit and eat their food because I was hungry and they treated me as if I was a ball in their court.,0
i feel as I was told that the owner has quite a few more eateries in the area.,0
The staff is full of attitude and humbleness is missing from their dictionary.Not sure what is missing in their hospitality,0
which airport provide hot snacks only after 0600 Hrs .. I always believed and told my friend you can not go wrong with ITC .. now I am forced to change that believe !!,0
"Why so many tourists were drawn here is beyond me.That being said, it's delhi, so you're always at a risk for Delhi Belly. Good luck!",0
food tasted like faeces.,0
"Waste of time, effort & money - will not go back in a long long time atleast till the reviews don get better.",0
I am absolutely shocked that this restaurant asks for a government Identification to use their wifi.,0
"The food which was appreciable were the salads only,the pizzas were...",0
the staff has the guts to refuse giving a loyal customer a simple side salad in place of unhealthy chips but doesn't have the guts to refuse customers from occupying tables and chairs for hours while their party is delayed in joining them. What sort of customer service is this... Instead of a herb dressing I requested a cesar dressing and three people came to me to refuse it. What committment..,0
Then we noticed the smell is coming form the sea food waste they throwing behind the restaurant which is worse than dog's dead body smell.,0
If you know mughlai food well.. This is not the place for you.,0
However we lost our appetite right at the entrance.Shame!,0
 Few of their dum managers will surely bring the brand down and could make some  of their regular people to avoid visiting them.,0
"The title sais everything, it looks nice and fancy but prices are high without better food quality.RUDE!!",0
"I am not sure if the management has noticed, but the experience at this place has gone down the drain.",0
Terrible ! Pathetic ! GROSS WASTE OF MONEY ! Never had such deplorable food .. I have kept it for the owner & chef to eat the same .. right before my eyes...have guests.. so cooking ..otherwise I would have physically brought it back.. Chef tomorrow be ready to taste your Horrible Food.. ,0
this place is joke...you can get anything and everything on a sizzler.This place has no ambience and is meant for families with screaming brats.,0
Ordered a chicken curry as a take away and it was absolutely worthless. The gravy seemed 4 days old and so did the chicken.,0
Karim's is one of the oldest and most famous restaurants in the area but what I found was nothing close to what I expected!,0
We were actually wondering why were we being served bad quality and tasteless food in a restaurant that has a very high rating.,0
Food was quite pathetic - everything looked like it had sat on the hot plate for a long while.,0
